what are bigos?	["Stew"]	["Polish food"]
what band was george clinton in?	["The Parliaments", "P-Funk All Stars", "Funkadelic", "George Clinton & Bootsy Collins", "George Clinton", "Parliament-Funkadelic"]	["George Clinton & Bootsy Collins", "The Parliaments", "Funkadelic", "Dolby's Cube", "P-Funk All Stars", "Parliament-Funkadelic"]
who owns volkswagen car company?	["Volkswagen Group"]	["Ferdinand Porsche"]
what drug killed marilyn monroe?	["Barbiturate"]	["Suicide", "Drug overdose", "Barbiturate"]
what to do in richardson dallas?	["Wizard's Sports Cafe"]	[]
who is on the board of facebook?	["Mark Zuckerberg"]	["Facebook, Inc.", "Mark Zuckerberg"]
what does jamaican people speak?	["Jamaican Creole English Language", "Jamaican English"]	["English Language"]
what do people in jamaica speak?	["Jamaican Creole English Language", "Jamaican English"]	["Jamaican English"]
what made the soviet union fall?	["Cold War"]	["Baltic Operation", "1991 Soviet coup d'\u00e9tat attempt", "Case Blue", "Sputnik program", "Tatsinskaya Raid", "Battle of Rostov (1941)", "Fourth Aliyah", "Yelnya Offensive", "Operation Kutuzov", "Defense of Brest Fortress", "Great Patriotic War", "Cold War", "Eastern Front", "Operation Bagration", "Taganrog during World War II", "Battle of the Korsun\u2013Cherkassy Pocket", "Death and state funeral of Leonid Brezhnev", "Romanian Armies in the Battle of Stalingrad", "Battle for Voronezh", "Narva Offensive", "Sino-Soviet split", "Project Dark Gene", "Space Race", "Lower Dnieper Offensive", "Battle of Brody", "Operation Barbarossa", "Operation Wotan", "Sino-Soviet border conflict", "Defense of the Adzhimushkay quarry", "Orsha offensives", "1940\u201344 insurgency in Chechnya", "Battle of Smolensk", "Sputnik 1 Mission", "1977 Moscow bombings", "Dissolution of the Soviet Union", "Battle of Kiev", "Kamenets-Podolsky Pocket", "Kingisepp\u2013Gdov Offensive", "Battle of Voronezh", "Crimean Offensive", "Axis and Soviet air operations during Operation Barbarossa", "Eastern European Anti-Communist Insurgencies", "Krasnoye Selo\u2013Ropsha Offensive"]
what makes elvis presley famous?	["Singer"]	["Actor", "Musician", "Singer", "Soldier"]
what airport is nearest to rome?	["Ciampino \u2013 G.B. Pastine International Airport"]	["Leonardo da Vinci\u2013Fiumicino Airport", "Ciampino\u2013G. B. Pastine International Airport", "Italian Met Office Airport", "Urbe Airport", "Rome Viterbo Airport"]
who was queen isabella's mother?	["Maria of Aragon, Queen of Portugal"]	["Isabella of Portugal, Queen of Castile", "John II of Castile"]
what language do brazilians use?	["Pomeranian language", "German Language", "Portuguese Language", "Plautdietsch Language", "Hunsr\u00fcckisch"]	["Plautdietsch Language", "Hunsr\u00fcckisch dialect", "German Language", "Pomeranian language", "Portuguese Language"]
where did antoine lavoisier die?	["Place de la Concorde"]	["Place de la Concorde"]
what is the clemson mascot name?	["The Tiger and the Cub", "The Clemson Tiger"]	["The Clemson Tiger", "The Tiger and the Cub"]
who is the king of cambodia now?	["Norodom Sihamoni"]	["Son Sann", "Pol Pot", "Norodom Sihanouk", "Khieu Samphan", "Hun Sen", "Heng Samrin"]
what did martha graham train as?	["Screenwriter", "Choreographer"]	["Screenwriter", "Choreographer"]
what was the japanese war called?	["World War II"]	["Sadao \u014cba"]
where did kobe earthquake happen?	["Great Hanshin earthquake"]	["2008 FIVB World Grand Prix", "FIVB World Grand Prix 1997", "1998 FIVB Men's Volleyball World Championship", "Battle of Minatogawa", "Miss International 1981"]
who plays king julian madagascar?	["Sacha Baron Cohen"]	[]
what is ryan seacrest radio show?	["On Air with Ryan Seacrest", "American Top 40"]	["Reality Check", "On Air with Ryan Seacrest", "American Bandstand", "Click", "American Juniors", "Gladiators 2000", "American Idol Rewind"]
what language is spoken in greek?	["Greek Language"]	["Language and the Internet", "The Nature of This Paradigm Dancing", "Language in Danger", "Egyptian Grammar: Being an Introduction to the Study of Hieroglyphs", "The British Edda", "Mandaean Book of John"]
what year did the phillies begin?	["1883"]	["2009 National League Championship Series", "1980 World Series", "2008 World Series", "2008 National League Championship Series"]
what made richard hammond famous?	["Top Gear"]	["Presenter", "Writer", "Journalist", "Author", "Voice Actor", "Radio personality"]
what was nikola tesla inventions?	["Tesla coil"]	["Induction motor", "Remote control", "Alternating current", "Wireless telegraphy", "Neon lamp", "Tesla coil"]
what currency does singapore use?	["Singapore dollar"]	["Singapore dollar"]
what is penn state's main campus?	["University Park"]	["Penn State Beaver", "Penn State Fayette", "Penn State Shenango", "Penn State Great Valley School of Graduate Professional Studies", "Penn State University, Dickinson School of Law", "Schreyer Honors College", "Penn State Hershey Medical Center", "Penn State College of Information Sciences and Technology", "Penn State Hazleton", "Smeal College of Business", "Penn State University College of Agricultural Sciences", "Penn State Harrisburg", "Penn State Lehigh Valley", "Penn State Abington", "Penn State College of Communications", "Penn State College of Earth and Mineral Sciences"]
who was philip in acts chapter 8?	["Apostle Philip"]	["Sergio Osme\u00f1a", "Jos\u00e9 P. Laurel", "Francis Burton Harrison", "William Howard Taft", "Gloria Macapagal-Arroyo", "Paul V. McNutt", "Manuel Quezon", "Henry Clay Ide", "Fidel V. Ramos", "Benigno \"Noynoy\" Aquino III", "Ramon Magsaysay", "Diosdado Macapagal", "Carlos P. Garcia", "Leonard Wood", "Elpidio Quirino", "William Cameron Forbes", "Theodore Roosevelt, Jr.", "Luke Edward Wright", "Dwight F. Davis", "Frank Murphy", "Francis Bowes Sayers", "Ferdinand Marcos", "Manuel Roxas", "Joseph Estrada", "Emilio Aguinaldo", "Corazon Aquino", "Henry L. Stimson", "James Francis Smith"]
who is the president of peru now?	["Ollanta Humala"]	["Sim\u00f3n Bol\u00edvar"]
what time zone is in the bahamas?	["UTC-5", "North American Eastern Time Zone"]	["UTC-5"]
what all did ben franklin invent?	["Lightning rod", "Franklin stove", "Bifocals", "Glass harmonica"]	["Glass harmonica", "Franklin stove", "Lightning rod", "Bifocals"]
what other states border florida?	["Alabama", "Georgia"]	["Georgia", "Alabama"]
who plays roxanne in ghost rider?	["Daryl Hannah"]	["Roy Thomas", "Gary Friedrich", "Mike Ploog"]
where to stay in chicago tourist?	["Hotel Sax Chicago"]	["Hotel Sax Chicago"]
what produce does florida export?	["Orange juice"]	["Georgia", "Alabama"]
what kind of government is egypt?	["Semi-presidential system", "Constitutional republic", "Republic", "Unitary state"]	["Provisional government"]
what does lauren conrad major in?	["Fashion design"]	["Fashion design"]
who were king henry vii children?	["Arthur, Prince of Wales", "Margaret Tudor", "Mary Tudor, Queen of France", "Henry VIII of England", "Edward Tudor", "Katherine Tudor", "Edmund Tudor, Duke of Somerset", "Elizabeth Tudor"]	["Arthur, Prince of Wales", "Edward Tudor", "Henry VIII of England", "Katherine Tudor", "Elizabeth Tudor", "Edmund Tudor, Duke of Somerset", "Mary Tudor, Queen of France", "Margaret Tudor"]
what are the supreme court cases?	["Hayburn's Case", "Hylton v. United States", "Brown v. Board of Education", "Hollingsworth v. Virginia", "California v. Greenwood", "Hague v. Committee for Industrial Organization", "Kohl v United States", "Ray v. Blair", "Loving v. Virginia", "Roe v. Wade"]	["Supreme Courtship", "Closed Chambers: The Rise, Fall, and Future of the Modern Supreme Court"]
which dawkins book to read first?	["The Selfish Gene"]	["Charles Darwin", "Douglas Adams", "Christopher Hitchens", "Daniel Dennett", "Nikolaas Tinbergen", "W. D. Hamilton", "Barend Jan de Jong", "George C. Williams"]
when did truman become president?	["4/12/1945"]	["1945-04-12"]
what county is st. louis park in?	["Hennepin County"]	["Hennepin County"]
what to see in montreal downtown?	["Casino de Montr\u00e9al", "Parc Jean-Drapeau", "La Ronde", "Canadian Centre for Architecture", "Montreal Botanical Garden", "Maisonneuve Park", "La Fontaine Park", "Mount Royal", "Old City", "Mus\u00e9e d'art contemporain de Montr\u00e9al"]	["La Ronde", "Mus\u00e9e d'art contemporain de Montr\u00e9al", "Montreal Museum of Fine Arts", "Mount Royal", "Bell Centre", "Parc Jean-Drapeau", "Canadian Centre for Architecture", "Casino de Montr\u00e9al", "Montreal Science Centre", "La Fontaine Park", "Montreal Botanical Garden", "Old City", "Maisonneuve Park"]
what is jacksonville fl timezone?	["North American Eastern Time Zone"]	["Eastern Time Zone"]
what did pamela courson die from?	["Heroin overdose", "Drug overdose"]	["Drug overdose", "Heroin overdose"]
who was queen victoria's husband?	["Albert, Prince Consort"]	["Albert, Prince Consort"]
what team is reggie bush on 2011?	["New Orleans Saints"]	["New Orleans Saints"]
what currency does france accept?	["CFP franc", "Euro"]	["Euro", "CFP franc"]
what was lebron james first team?	["Cleveland Cavaliers"]	["Cleveland Cavaliers"]
what country is nicki minaj from?	["Trinidad and Tobago"]	["United States of America", "Trinidad and Tobago"]
what is the zip code for concord?	["94529", "94518", "94519", "94522", "94521", "94520", "94527", "94524"]	["94521", "94520", "94529", "94524", "94519", "94522", "94518", "94527"]
what region is turkey considered?	["Southeastern Anatolia Region", "Central Anatolia Region", "Mediterranean Region, Turkey", "Black Sea Region", "Eastern Anatolia Region", "Marmara Region", "Aegean Region"]	["Southeastern Anatolia Region", "Marmara Region", "Ankara Province", "Black Sea Region", "Mediterranean Region, Turkey", "Aegean Region", "Central Anatolia Region", "Eastern Anatolia Region"]
what did elvis presley died from?	["Myocardial infarction"]	["Myocardial infarction"]
what do they call money in japan?	["Japanese yen"]	["Japanese yen"]
what is real name of santa claus?	["Saint Nicholas"]	["Saint Nicholas"]
what language does australia use?	["English Language"]	["English Language", "Esperanto Language", "Lojban"]
what language does iceland speak?	["Icelandic Language"]	["Icelandic Language"]
what two continents is turkey on?	["Europe", "Eurasia", "Asia"]	["Eurasia"]
where did crabtree go to college?	["Texas Tech University"]	["Oregon", "Linn County"]
where is mount st helens volcano?	["Skamania County"]	["North America", "Washington", "United States of America", "Skamania County", "Cascade Range"]
who was king after leonidas died?	["Pleistarchus"]	["Thermopylae"]
where laura ingalls wilder lived?	["South Dakota", "Wisconsin"]	["Wisconsin", "South Dakota"]
what city does paul ryan live in?	["Janesville"]	["Janesville"]
what was robert burns famous for?	["Poet"]	["Poet", "Writer", "Author", "Bard"]
what does kim kardashian work as?	["Entrepreneur", "Model", "Businessperson", "Actor"]	["Businessperson", "Fashion Designer", "Actor", "Entrepreneur", "Model"]
what is the zip code for trenton?	["08610", "08611", "08618", "08608", "08603", "08602", "08601", "08607", "08605", "08604"]	["08625", "08611", "08628", "08638", "08610", "08619", "08620", "08609", "08629", "08641", "08690", "08695", "08666", "08650", "08647", "08646", "08645", "08607", "08606", "08605", "08604", "08603", "08602", "08691", "08618", "08608", "08601"]
where was mary todd lincoln from?	["Lexington", "Springfield"]	["Lexington"]
who won the battle of gettysburg?	["United States of America"]	["United States of America", "Confederate States of America", "Union"]
what broncos are in the pro bowl?	["Peyton Manning"]	["2003 Pro Bowl", "2002 Pro Bowl", "2001 Pro Bowl", "2000 Pro Bowl", "1999 Pro Bowl", "1998 Pro Bowl", "1997 Pro Bowl", "1996 Pro Bowl", "1995 Pro Bowl", "1994 Pro Bowl", "1993 Pro Bowl", "1992 Pro Bowl", "1991 Pro Bowl", "1990 Pro Bowl", "2007 Pro Bowl", "1986 Pro Bowl", "1989 Pro Bowl", "1988 Pro Bowl", "1987 Pro Bowl", "1985 Pro Bowl", "1984 Pro Bowl", "1983 Pro Bowl", "1982 Pro Bowl", "1981 Pro Bowl", "1980 Pro Bowl", "1979 Pro Bowl", "1978 Pro Bowl", "1977 Pro Bowl", "1976 Pro Bowl", "1975 Pro Bowl", "1974 Pro Bowl", "1973 Pro Bowl", "1972 Pro Bowl", "1971 Pro Bowl", "2008 Pro Bowl", "2009 Pro Bowl", "2010 Pro Bowl", "1970 Pro Bowl", "1965 Pro Bowl", "1968 Pro Bowl", "1961 Pro Bowl", "1967 Pro Bowl", "1964 Pro Bowl", "1969 Pro Bowl", "1966 Pro Bowl", "1963 Pro Bowl", "1969 Pro Bowl", "1962 Pro Bowl", "1960 Pro Bowl", "2005 Pro Bowl", "2011 Pro Bowl", "2006 Pro Bowl", "2004 Pro Bowl", "2012 Pro Bowl", "2013 Pro Bowl"]
where is the latin language from?	["Italic languages", "Indo-European languages"]	["Republic of Genoa", "Kingdom of Aragon", "Duchy of Burgundy"]
what do australians call bigfoot?	["Waleed Aly"]	["Italian Language", "English Language", "Chinese language", "Greek Language"]
where is the thames river source?	["Thames Head"]	["Thames Estuary"]
who was the son of king leonidas?	["Pleistarchus"]	["Pleistarchus"]
where did benjamin franklin work?	["James Franklin Printing Shop", "United States Postal Service", "Josiah Franklin"]	["Josiah Franklin", "United States Postal Service", "James Franklin Printing Shop"]
what college did john nash go to?	["Carnegie Mellon University", "Carnegie Institute of Technology", "Bluefield High School", "Princeton University", "Massachusetts Institute of Technology"]	["Carnegie Institute of Technology", "Princeton University", "Bluefield High School"]
what was jesse james killed with?	["Assassination", "Firearm"]	["Assassination"]
who is dustin johnson the golfer?	["Golfer"]	["Amanda Caulder"]
what led to stalin rise in power?	["In 1912, Lenin, who was forced to flee the country, chose him to serve on the first Central Committee of the Bolshevik party, which had now broken from the Social Democrats."]	["Assassination", "Ballistic trauma"]
what is my timezone in louisiana?	["Central Time Zone", "UTC\u221206:00"]	["Central Time Zone", "UTC\u221206:00"]
who is amy grant's first husband?	["Vince Gill"]	["Vince Gill", "Gary Chapman"]
what places in japan were bombed?	["Hiroshima Prefecture"]	["Battle of Sendanno", "2012 Japan Earthquakes", "Boshin War", "Battle of Kanagawa", "Siege of Odawara", "Siege of Odawara", "Siege of Odawara", "2002 FIFA World Cup", "Rise Against 2009 Concert Tour", "I Am... World Tour", "Siege of Takatenjin", "Siege of Takatenjin", "Siege of Kanie", "Genpei War", "Siege of Hijiyama", "Siege of \u014ctate", "Battle of Komaki and Nagakute", "Japanese general election, 2003", "Matsukawa derailment", "Lamb of God 2009 Concert Tour", "26th G8 summit", "Of Montreal 2009 Concert Tour", "All Hope Is Gone World Tour", "Battle of Koromo River", "Battle of Suriagehara", "34th G8 summit", "League of Blood Incident", "Death Cab for Cutie 2009 Concert Tour", "1998 FIVB Women's Volleyball World Championship", "Mongol invasions of Japan", "Siege of Ganjaku", "Siege of Kuriyagawa", "Battle of Uchidehama", "Siege of \u014cta Castle", "Siege of Ueda", "Battle of Norada", "Siege of Negoro-ji", "Siege of Moji", "Siege of Takat\u014d", "Siege of Futamata", "Battle of Temmokuzan", "Sieges of Toishi", "Battle of Ozawahara", "Siege of Mitsuji", "Siege of Shika Castle", "Siege of Kannomine", "Siege of Matsuo", "Siege of Shimoda", "Siege of Bartenstein", "Battle of Sakainehara", "Battle of Takaj\u014d", "Siege of Kunoe", "Allied naval bombardments of Japan during World War II", "Ky\u014dtoku Incident", "12th G7 summit", "19th G7 summit", "5th G7 summit", "Battle of Hitotoribashi", "Japanese House of Councillors election, 2013"]
what year was first world series?	["1903 World Series"]	["1903-10-01"]
who was richard nixon married to?	["Pat Nixon"]	["Pat Nixon"]
where did the gettysburg address?	["Gettysburg"]	["Egalitarianism"]
who did the voice for lola bunny?	["Britt McKillip", "Kath Soucie"]	["Britt McKillip", "Kath Soucie"]
